nama;time;Ulasan;ket;Label
@hobariahmurdi9672;11 bulan yang lalu;Betul banget pk doctor saya juga punya pnyakit dating dh 4 th ke  doctor cm 2 x setelah nya cm minum air daun kelor slma 3 th ini alhmdullah ada mmpa at nya dn di msak sayur lodeh di sayur asam di urap di jmur di buat teh dn di giling disatukan sm air susu munuman satu sendok kecil ah pokonnya serba mntap;bermanfaat;1
@syifarestial6860;1 bulan yang lalu;Dok sebenernya Obat Penurun Berat Badan itu bagus ga sih? Saya punya temen katanya kalau mau kurus dibantu suplemen biar cepet. Emg bisa efektif? Dah cape dibully gendut;bermanfaat;1
@wayanarka9576;1 tahun yang lalu;"Pengetahuan SPT ini sangat diperlukan masyarakat.
Teruslah memberikan pengetahuan seperti ini dengan tofik yg bervariasi";bermanfaat;1
@graceyulichannel;1 tahun yang lalu;Terimakasih infonya daun kelor dan manfaatnya sahabatku, semakin sukses dan berkembang vidionya.;bermanfaat;1
@macramecreationbynurulinda211;4 bulan yang lalu;Saya mulai konsumsi teh daun kelor dari ( bubuk daun kelor) setiap pagi. Tanpa gula. Awalnya memang aneh tapi baik buat kesehatan maka saya tetap konsumsi untuk mendapatkan manfaat baiknya.;bermanfaat;1
@madekembangarsini4511;1 tahun yang lalu;Daun kelor enak banget, terimakasih Bpk  informasi yang bermanfaaat Astungkara Rahayu;bermanfaat;1
@mbakyukvlog1986;2 tahun yang lalu;"TERIMAKASIH SUKSES SELALU,SANGAT BERMANFAAT.
DIKAMPUNGKU DAUN KELOR TINGGAL METIK AJA,JUGA SERING MASAK SAYUR BENING KELOR RASANYA ENAK GUYS.";bermanfaat;1
@kokomkomariah1724;1 tahun yang lalu;Terimakasih banyak informasi nya yang begitu banyak manfa'at nya.;bermanfaat;1
@wildannn3935;2 tahun yang lalu;bener bnget  ...setelah kumsumsi daun kelor badan terasa fit...alhamdulilah banyak manfaatnya ingat ya masak nya jngn dikasih penyedap. .makasih infonya pk dokter...;bermanfaat;1
@HerbalTV;1 tahun yang lalu;penyampaian yang mudah dipahami, terimakasih informasinya dok;bermanfaat;1
@florentinsunlety9055;2 tahun yang lalu;Trima kasih pak atas penjelasan manfaat daun kelor,Tuhan memberkati.;bermanfaat;1
@AtunAnastasia-dt2nq;1 tahun yang lalu;TeRima.. KasihSudah. Bermanpaat. Dan.Daunkelor;bermanfaat;1
@suhadiprayetno2189;1 tahun yang lalu;Slamat pagi kami sangat senang mendapat pencerahan dari bapak SMG pencerahan ini bermanfaat untuk kami makasih SMG bapak nggak bosan2nya memberi pencerahan pada kami tentang kesehatan trimakasih.smg bapak sehat sllu;bermanfaat;1
@nyarmansuri5390;2 tahun yang lalu;Terimakasih informasi ini sangat membantu wawasan tentang manfaat dan resikonya.;bermanfaat;1
@guspujikursibiru9746;2 tahun yang lalu;Sngt bagus info nya.;bermanfaat;1
@habibassyafi4436;1 tahun yang lalu;Sip bAdanku setelah mengkonsomsi daun kelor selama satu minggu berturut2 joss;bermanfaat;1
@tututuofficial358;2 tahun yang lalu;"Terima ksh atas penjelasan dokter.
Semoga bermanfaat untuk banyak
Orang";bermanfaat;1
@elitatailor3578;2 tahun yang lalu;Terima kasih pak ilmux dan jg penjelasan nya semua sehat selalu;bermanfaat;1
@mustarisiara9210;2 tahun yang lalu;Keren neh! Sehat dan Mensemangati untuk selalu sehat.;bermanfaat;1
@madesuka3516;1 tahun yang lalu;Kalau ini baru YouTube YouTube bermanfaat,,, terimakasih,, semoga sukses,,;bermanfaat;1
@graceyulichannel;1 tahun yang lalu;Terimakasih infonya daun kelor dan manfaatnya sahabatku, semakin sukses dan berkembang vidionya.;bermanfaat;1
@macramecreationbynurulinda211;4 bulan yang lalu;Saya mulai konsumsi teh daun kelor dari ( bubuk daun kelor) setiap pagi. Tanpa gula. Awalnya memang aneh tapi baik buat kesehatan maka saya tetap konsumsi untuk mendapatkan manfaat baiknya.;bermanfaat;1
@madekembangarsini4511;1 tahun yang lalu;Daun kelor enak banget, terimakasih Bpk  informasi yang bermanfaaat Astungkara Rahayu;bermanfaat;1
@mbakyukvlog1986;2 tahun yang lalu;"TERIMAKASIH SUKSES SELALU,SANGAT BERMANFAAT.
DIKAMPUNGKU DAUN KELOR TINGGAL METIK AJA,JUGA SERING MASAK SAYUR BENING KELOR RASANYA ENAK GUYS.";bermanfaat;1
@kokomkomariah1724;1 tahun yang lalu;Terimakasih banyak informasi nya yang begitu banyak manfa'at nya.;bermanfaat;1
@wildannn3935;2 tahun yang lalu;bener bnget  ...setelah kumsumsi daun kelor badan terasa fit...alhamdulilah banyak manfaatnya ingat ya masak nya jngn dikasih penyedap. .makasih infonya pk dokter...;bermanfaat;1
@HerbalTV;1 tahun yang lalu;penyampaian yang mudah dipahami, terimakasih informasinya dok;bermanfaat;1
@florentinsunlety9055;2 tahun yang lalu;Trima kasih pak atas penjelasan manfaat daun kelor,Tuhan memberkati.;bermanfaat;1
@AtunAnastasia-dt2nq;1 tahun yang lalu;TeRima.. KasihSudah. Bermanpaat. Dan.Daunkelor;bermanfaat;1
@suhadiprayetno2189;1 tahun yang lalu;Slamat pagi kami sangat senang mendapat pencerahan dari bapak SMG pencerahan ini bermanfaat untuk kami makasih SMG bapak nggak bosan2nya memberi pencerahan pada kami tentang kesehatan trimakasih.smg bapak sehat sllu;bermanfaat;1
@nyarmansuri5390;2 tahun yang lalu;Terimakasih informasi ini sangat membantu wawasan tentang manfaat dan resikonya.;bermanfaat;1
@guspujikursibiru9746;2 tahun yang lalu;Sngt bagus info nya.;bermanfaat;1
@habibassyafi4436;1 tahun yang lalu;Sip bAdanku setelah mengkonsomsi daun kelor selama satu minggu berturut2 joss;bermanfaat;1
